attempt_index	timestamp_utc	candidate_id	parent_1	parent_2	parent_1_val_bpb	parent_2_val_bpb	parent_1_modification	parent_2_modification	merge_proposal	status	reject_or_failure_summary	reason_source	child_val_bpb	delta_best_parent
1	2026-09-17T14:47:16+00:00	exp_000002	exp_000000	exp_000001	1.885642	1.912973	baseline	Lowering the Muon matrix learning rate from 0.04 to 0.03 should reduce overly aggressive matrix updates, improving optimization stability and lowering validation bits per byte.	unavailable: overwritten/deleted	semantic_reject	baseline contributes no independent modification [baseline_vs_single_change]	inferred_from_parent_commits		
2	2026-09-17T15:15:47+00:00	exp_000004	exp_000000	exp_000002	1.885642	1.912576	baseline	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further moderate matrix updates, improving optimization stability and lowering validation bits per byte.	unavailable: overwritten/deleted	semantic_reject	baseline contributes no independent modification [baseline_vs_single_change]	inferred_from_parent_commits		
3	2026-09-17T15:16:32+00:00	exp_000004	exp_000000	exp_000003	1.885642	1.919487	baseline	Reducing the Muon matrix learning rate from 0.025 to 0.020 should further moderate matrix updates, improving optimization stability and lowering validation bits per byte.	unavailable: overwritten/deleted	semantic_reject	baseline contributes no independent modification [baseline_vs_single_change]	inferred_from_parent_commits		
4	2026-09-17T15:30:21+00:00	exp_000005	exp_000000	exp_000004	1.885642	1.895905	baseline	Lowering the Muon matrix learning rate from 0.04 to 0.03 should reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	baseline contributes no independent modification [baseline_vs_single_change]	inferred_from_parent_commits		
5	2026-09-17T15:30:54+00:00	exp_000005	exp_000003	exp_000004	1.919487	1.895905	Reducing the Muon matrix learning rate from 0.025 to 0.020 should further moderate matrix updates, improving optimization stability and lowering validation bits per byte.	Lowering the Muon matrix learning rate from 0.04 to 0.03 should reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	parallel alternatives edit the same MATRIX_LR to different values [parallel_alternatives_same_parameter]	inferred_from_parent_commits		
6	2026-09-17T15:31:22+00:00	exp_000005	exp_000002	exp_000004	1.912576	1.895905	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further moderate matrix updates, improving optimization stability and lowering validation bits per byte.	Lowering the Muon matrix learning rate from 0.04 to 0.03 should reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	parallel alternatives edit the same MATRIX_LR to different values [parallel_alternatives_same_parameter]	inferred_from_parent_commits		
7	2026-09-17T15:45:16+00:00	exp_000006	exp_000004	exp_000005	1.895905	1.901637	Lowering the Muon matrix learning rate from 0.04 to 0.03 should reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	ancestor/descendant refinement on the same MATRIX_LR parameter [ancestor_descendant_same_parameter_refinement]	inferred_from_parent_commits		
8	2026-09-17T16:24:38+00:00	exp_000009	exp_000005	exp_000007	1.901637	1.909636	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Reducing the Muon matrix learning rate from 0.020 to 0.015 should further moderate matrix updates, improving optimization stability and lowering validation bits per byte.	unavailable: overwritten/deleted	semantic_reject	parallel alternatives edit the same MATRIX_LR to different values [parallel_alternatives_same_parameter]	inferred_from_parent_commits		
9	2026-09-17T16:25:06+00:00	exp_000009	exp_000006	exp_000007	1.901868	1.909636	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further limit late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	Reducing the Muon matrix learning rate from 0.020 to 0.015 should further moderate matrix updates, improving optimization stability and lowering validation bits per byte.	unavailable: overwritten/deleted	semantic_reject	parallel alternatives edit the same MATRIX_LR to different values [parallel_alternatives_same_parameter]	inferred_from_parent_commits		
10	2026-09-17T16:38:42+00:00	exp_000010	exp_000001	exp_000005	1.912973	1.901637	Lowering the Muon matrix learning rate from 0.04 to 0.03 should reduce overly aggressive matrix updates, improving optimization stability and lowering validation bits per byte.	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.	unavailable: overwritten/deleted	semantic_reject	parallel alternatives edit the same MATRIX_LR to different values [parallel_alternatives_same_parameter]	inferred_from_parent_commits		
