id	status	operation	parents	val_bpb	best_parent_val_bpb	delta_vs_best_parent	hypothesis
exp_000001	finished	expand	exp_000000	1.912973	1.885642	0.027330999999999994	Lowering the Muon matrix learning rate from 0.04 to 0.03 should reduce overly aggressive matrix updates, improving optimization stability and lowering validation bits per byte.
exp_000002	finished	expand	exp_000001	1.912576	1.912973	-0.0003969999999999807	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further moderate matrix updates, improving optimization stability and lowering validation bits per byte.
exp_000003	finished	expand	exp_000002	1.919487	1.912576	0.0069109999999998895	Reducing the Muon matrix learning rate from 0.025 to 0.020 should further moderate matrix updates, improving optimization stability and lowering validation bits per byte.
exp_000004	finished	expand	exp_000000	1.895905	1.885642	0.010262999999999911	Lowering the Muon matrix learning rate from 0.04 to 0.03 should reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
exp_000005	finished	expand	exp_000004	1.901637	1.895905	0.00573200000000007	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
exp_000006	finished	expand	exp_000004	1.901868	1.895905	0.005962999999999941	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further limit late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
exp_000007	finished	expand	exp_000003	1.909636	1.919487	-0.009851000000000054	Reducing the Muon matrix learning rate from 0.020 to 0.015 should further moderate matrix updates, improving optimization stability and lowering validation bits per byte.
exp_000008	finished	expand	exp_000000	1.998774	1.885642	0.11313200000000001	Add a 5% linear learning-rate warmup so the high initial embedding, scalar, and Muon update magnitudes ramp in gradually; this should improve early optimization stability and lower final val_bpb within the fixed training budget.
exp_000009	finished	expand	exp_000004	1.906027	1.895905	0.010121999999999964	Further lowering the Muon matrix learning rate from 0.03 to 0.02 should reduce residual late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
exp_000011	finished	expand	exp_000003	1.909989	1.919487	-0.009498000000000006	Reducing the Muon matrix learning rate from 0.020 to 0.015 should further moderate matrix updates, improving optimization stability and lowering validation bits per byte.
exp_000012	finished	expand	exp_000004	1.902106	1.895905	0.006201000000000123	Reducing the Muon matrix learning rate from 0.03 to 0.025 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
exp_000014	finished	expand	exp_000012	1.90638	1.902106	0.004273999999999889	Reducing the Muon matrix learning rate from 0.025 to 0.02 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
exp_000015	finished	expand	exp_000004	1.90187	1.895905	0.005964999999999998	Further lowering the Muon matrix learning rate from 0.03 to 0.025 should reduce residual late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
exp_000016	finished	merge	exp_000004,exp_000012	1.902077	1.895905	0.006172000000000066	Lowering the Muon matrix learning rate from 0.04 to 0.025 through the compatible intermediate setting of 0.03 should further reduce late-training overshoot and improve validation bits per byte within the fixed 300-second budget.
