id	status	operation	parents	val_bpb	best_parent_val_bpb	delta_vs_best_parent	hypothesis
exp_000001	finished	expand	exp_000000	2.071571	1.885642	0.185929	A short 2% linear learning-rate warmup will reduce early optimizer transients and improve final validation bits per byte under the fixed training-time budget.
exp_000002	finished	merge	exp_000000,exp_000001	2.000118	1.885642	0.11447600000000002	A short 2% linear learning-rate warmup will reduce early optimizer transients and improve final validation bits per byte under the fixed training-time budget.
exp_000003	finished	expand	exp_000000	2.002774	1.885642	0.11713200000000001	A 5% linear learning-rate warmup will reduce early optimization shock from the aggressive embedding and Muon learning rates, improving convergence and lowering val_bpb within the fixed training-time budget.
exp_000004	finished	expand	exp_000000	2.002898	1.885642	0.11725600000000003	Add a 10% linear learning-rate warmup to stabilize the aggressive early Muon/Adam updates, improving optimization during the fixed training budget and lowering val_bpb.
exp_000005	finished	merge	exp_000000,exp_000002	2.002231	1.885642	0.11658900000000005	A short 2% linear learning-rate warmup will reduce early optimizer transients and improve final validation bits per byte under the fixed training-time budget.
exp_000006	finished	expand	exp_000000	1.891442	1.885642	0.005800000000000027	Extend the linear learning-rate warmdown from 50% to 70% of training progress so the fixed-time run uses smaller updates during more of its late optimization phase, reducing late-stage overshoot and lowering val_bpb.
exp_000007	finished	merge	exp_000006,exp_000000	1.890996	1.885642	0.005353999999999859	Extend the linear learning-rate warmdown to 70% of training progress so the fixed-time run uses smaller updates during more of its late optimization phase, reducing late-stage overshoot and lowering val_bpb.
exp_000008	finished	merge	exp_000003,exp_000007	2.020632	1.890996	0.12963600000000008	A 5% linear learning-rate warmup will reduce early optimization shock from the aggressive embedding and Muon learning rates, while a 70% linear learning-rate warmdown will reduce late-stage overshoot; combining both schedules will improve convergence and lower val_bpb within the fixed training-time budget.
exp_000009	finished	merge	exp_000006,exp_000002	2.019149	1.891442	0.12770700000000001	A 2% linear learning-rate warmup will reduce early optimizer transients, while extending the linear warmdown to 70% of training progress will reduce late-stage overshoot; together they should improve final validation bits per byte under the fixed training-time budget.
exp_000010	finished	expand	exp_000006	1.89375	1.891442	0.0023079999999999767	Extend the linear learning-rate warmdown from 70% to 80% of training progress so the fixed-time run uses smaller updates during more of its late optimization phase, reducing late-stage overshoot and lowering val_bpb.
exp_000011	finished	expand	exp_000010	1.896472	1.89375	0.002721999999999891	Extending the linear learning-rate warmdown from 80% to 90% of training progress will use smaller updates across more of the fixed-time run's late optimization phase, reducing late-stage overshoot and lowering val_bpb.
exp_000012	finished	merge	exp_000011,exp_000000	1.896779	1.885642	0.011136999999999952	A's 90% linear learning-rate warmdown is a distinct, compatible improvement over baseline B's 50% warmdown: it applies smaller updates across more of the fixed-time run's late optimization phase, reducing late-stage overshoot and potentially lowering val_bpb.
exp_000013	finished	expand	exp_000010	1.897033	1.89375	0.003282999999999925	Extend the linear learning-rate warmdown from 80% to 90% of training progress so the fixed-time run uses smaller updates during more of its late optimization phase, reducing late-stage overshoot and lowering val_bpb.
exp_000014	finished	expand	exp_000013	1.898553	1.897033	0.0015199999999999658	Extend the linear learning-rate warmdown from 90% to 95% of training progress so the fixed-time run uses smaller updates during more of its late optimization phase, reducing late-stage overshoot and lowering val_bpb.
exp_000015	finished	expand	exp_000010	1.896984	1.89375	0.003233999999999959	Extend the linear learning-rate warmdown from 80% to 90% of training progress so the fixed-time run uses smaller updates during more of its late optimization phase, further reducing late-stage overshoot and lowering val_bpb.
exp_000016	finished	expand	exp_000012	1.909486	1.896779	0.012707000000000024	Extending the linear learning-rate warmdown from 90% to 95% of the fixed-time run should reduce late-stage overshoot further by applying smaller updates across more of the final optimization phase, lowering val_bpb while preserving the parent improvement over the 50% baseline.
exp_000017	finished	merge	exp_000011,exp_000016	1.89951	1.896472	0.003038000000000096	Extend the linear learning-rate warmdown from 90% to 95% of training progress, preserving the parent improvement from the 50% baseline while applying smaller updates across more of the final optimization phase to reduce late-stage overshoot and lower val_bpb.
